Player_id,Player,Squad_id,Nation,Pos,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Sh,SoT,Dist,FK,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,PPA,Tkl,Challenges_Tkl,Challenges_Lost,Blocks,Err,Touches,Touches_DefPen,Touches_AttPen,Take-Ons_Succ,Take-Ons_Tkld,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_Dis,Receiving_Rec,Subs,unSub,2CrdY,Fls,Fld,Off,PKcon,OG,Recov
1fb811ed,Chloé N'Gazi,4fcc2996,dz ALG,GK,26,1996,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,64.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,0.0,0,0.0
8cedae3a,Monique Ngock,e3696882,cm CMR,"MF,DF",18,2004,16,12,1103,1,0,0,0,4,0,9.0,55.0,9.0,4.0,2.0,27.6,0.0,377.0,537.0,6496.0,2987.0,6.0,1.0,42.0,27.0,8.0,13.0,0.0,670.0,26.0,2.0,5.0,5.0,306.0,1629.0,774.0,8.0,311.0,4,0.0,0,22.0,27.0,0.0,0.0,0,111.0
3a3f1bfd,Soufiya Ngueleu,80595417,cm CMR,FW,18,2004,4,1,58,0,0,0,0,0,0,1.0,2.0,6.0,1.0,1.0,6.9,0.0,10.0,16.0,140.0,24.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,27.0,0.0,2.0,3.0,1.0,19.0,99.0,13.0,7.0,20.0,5,0.0,0,2.0,0.0,0.0,0.0,0,5.0
cb4cf8e0,Chiamaka Nnadozie,28d9b675,ng NGA,GK,22,2000,18,18,1575,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,432.0,545.0,10200.0,6014.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,579.0,476.0,0.0,0.0,0.0,382.0,2174.0,1166.0,0.0,268.0,1,1.0,0,0.0,3.0,0.0,0.0,0,29.0
612c0817,Léa Notel,e3696882,fr FRA,DF,18,2004,10,7,643,0,1,0,0,1,0,4.0,17.0,6.0,2.0,0.0,20.9,0.0,240.0,340.0,4455.0,2452.0,2.0,1.0,24.0,11.0,13.0,7.0,0.0,409.0,19.0,1.0,5.0,0.0,159.0,836.0,457.0,4.0,171.0,0,1.0,0,8.0,3.0,0.0,1.0,0,48.0
926c65f7,Lilian Onyango,b54d31b3,ke KEN,GK,23,1999,1,1,90,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0,,,,,0,
6d376b1a,Sonia Ouchene,e3696882,fr FRA,"MF,FW",23,2000,15,14,1226,3,2,0,0,3,0,11.0,71.0,57.0,25.0,10.0,18.0,0.0,392.0,547.0,6273.0,2104.0,14.0,11.0,35.0,11.0,14.0,19.0,0.0,747.0,14.0,47.0,22.0,31.0,445.0,2096.0,827.0,22.0,505.0,0,2.0,0,22.0,25.0,3.0,0.0,0,103.0
2e2b11cb,Célina Ould Hocine,28d9b675,fr FRA,DF,21,2002,13,6,629,1,0,0,0,0,0,5.0,28.0,4.0,6.0,2.0,11.2,0.0,338.0,411.0,6069.0,2477.0,4.0,0.0,10.0,5.0,6.0,8.0,0.0,466.0,31.0,6.0,2.0,0.0,282.0,1430.0,826.0,0.0,287.0,5,3.0,0,3.0,8.0,0.0,0.0,0,47.0
5dfe568c,Wassilah Pacaud,abc4f6d7,fr FRA,MF,17,2005,11,3,331,0,0,0,0,0,0,0.0,7.0,5.0,3.0,3.0,21.1,0.0,69.0,109.0,1016.0,222.0,2.0,2.0,9.0,2.0,5.0,8.0,0.0,174.0,3.0,5.0,4.0,6.0,96.0,404.0,82.0,9.0,104.0,2,0.0,0,8.0,6.0,1.0,0.0,0,27.0
d755ecf3,Ella Palis,69dee2b0,fr FRA,MF,24,1999,15,15,1307,0,1,0,0,5,0,13.0,47.0,6.0,9.0,2.0,31.5,0.0,333.0,467.0,6677.0,2149.0,10.0,5.0,26.0,13.0,6.0,15.0,0.0,592.0,30.0,1.0,4.0,7.0,277.0,1507.0,669.0,6.0,321.0,1,0.0,0,24.0,22.0,0.0,1.0,0,105.0
72c15fcf,Julie Pasquereau,e3696882,fr FRA,DF,28,1994,19,19,1710,3,1,0,0,0,0,7.0,52.0,3.0,10.0,4.0,14.8,0.0,642.0,947.0,15989.0,9861.0,9.0,4.0,16.0,13.0,12.0,12.0,2.0,1103.0,227.0,10.0,4.0,4.0,584.0,3546.0,2115.0,1.0,610.0,8,1.0,0,18.0,8.0,0.0,0.0,0,132.0
a23fc3c2,Camille Pecharman,28d9b675,fr FRA,GK,24,1998,2,1,135,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,34.0,660.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,33.0,0.0,0.0,0.0,16.0,90.0,64.0,0.0,15.0,1,1.0,0,0.0,0.0,0.0,0.0,0,2.0
3a9d97e2,Alison Peniguel,abc4f6d7,fr FRA,"FW,MF",24,1998,19,11,959,0,1,0,0,2,0,6.0,14.0,37.0,7.0,3.0,10.5,0.0,158.0,212.0,2086.0,356.0,7.0,4.0,13.0,4.0,6.0,6.0,0.0,300.0,8.0,29.0,2.0,4.0,142.0,537.0,206.0,18.0,202.0,0,1.0,0,19.0,27.0,2.0,0.0,0,25.0
51e0f0d0,Marine Perea,abc4f6d7,fr FRA,DF,22,2000,10,9,686,0,0,0,0,0,0,4.0,16.0,15.0,2.0,1.0,19.7,1.0,211.0,327.0,3711.0,1867.0,3.0,3.0,12.0,10.0,5.0,7.0,0.0,391.0,25.0,4.0,0.0,0.0,127.0,443.0,183.0,2.0,153.0,7,2.0,0,0.0,4.0,1.0,0.0,0,36.0
8f997d3b,Cindy Perrault,abc4f6d7,fr FRA,GK,27,1996,13,13,1170,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,320.0,415.0,7776.0,4662.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,448.0,406.0,0.0,0.0,0.0,238.0,1367.0,989.0,0.0,157.0,1,6.0,0,1.0,3.0,0.0,1.0,0,14.0
